0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/dwr/interface/MenuAction.js HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "POST /fs.tlms/dwr/call/plaincall/CmpTplDwrAction.getGridDict.dwr HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/modules/res/plan/plugins//query/ResPlanListQuery.js HTTP/1.1" 200 945
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/modules/res/plan/plugins//tbar/ResPlanTbar.js HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/core/jslib/ext/resources/images/default/toolbar/bg.gif HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/core/resources/icons/zoom.png HTTP/1.1" 200 692
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/core/jslib/ext/resources/images/default/grid/grid-blue-split.gif HTTP/1.1" 200 817
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/core/resources/icons/bullet_white.png HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/core/jslib/ext/resources/images/default/layout/mini-bottom.gif HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/core/jslib/ext/resources/images/default/layout/mini-top.gif HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "POST /fs.tlms/dwr/call/plaincall/GridViewAction.getGridMeta.dwr HTTP/1.1" 200 7805
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/core/jslib/ext/resources/images/default/grid/grid3-hrow.gif HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/core/jslib/ext/resources/images/default/grid/row-check-sprite.gif HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/core/jslib/ext/resources/images/default/grid/grid3-hd-btn.gif HTTP/1.1" 200 1229
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/core/jslib/ext/resources/images/default/dd/drop-no.gif HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/core/jslib/ext/resources/images/default/grid/col-move-bottom.gif HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/core/jslib/ext/resources/images/default/grid/col-move-top.gif HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/core/jslib/ext/resources/images/default/grid/page-first-disabled.gif HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [16/Aug/2017:17:49:09 +0800] "GET /fs.tlms/core/jslib/ext/resources/images/default/grid/page-prev-disabled.gif HTTP/1.1" 200 879
